conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1767737155605106854,Wed Mar 13 08:07:43 +0000 2024,0,@pro_gibran_ program makan siang gratis ini adalah langkah bagus untuk mendukung pertumbuhan anak-anak kita yang lebih sehat dan lebih cerdas,1767824850553557445,,pro_gibran_,in,,0,0,0,https://x.com/pylsner26/status/1767824850553557445,1697074078761582592,pylsner26
1767794896159887378,Wed Mar 13 06:08:41 +0000 2024,158,berikut story yang bisa jadi acuan buat pilih saham swing -Syariah Perbankan modern terus tumbuh - program Hilirisasi nikel - program makan siang gratis - konflik Laut Merah - Dunia AI akan terus berkembang pilih emiten yang CGC bagus valuasi termurah dan bagi dividen,1767794896159887378,,,in,jakarta selatan,1,5,21,https://x.com/saptaipb/status/1767794896159887378,1634788663,saptaipb
1766802549129249138,Sun Mar 10 14:11:53 +0000 2024,0,@mimih6mei Bagus banget program makan siang gratis ini! Bukan hanya memberikan makanan tapi juga memastikan anak-anak mendapatkan gizi yang layak.,1766829331463213343,,mimih6mei,in,Indonesia,0,0,0,https://x.com/kurnia_nasir/status/1766829331463213343,1709163746176675840,kurnia_nasir
1766792125344292949,Sun Mar 10 13:17:41 +0000 2024,0,@gen_gibran Program makan siang gratis emang bagus banget sih semoga bisa segera direalisasikan yaa,1766815690911281556,,icon_gen,in,,0,0,0,https://x.com/SmolHtao/status/1766815690911281556,1721795216494231552,SmolHtao
1766792125344292949,Sun Mar 10 13:16:37 +0000 2024,0,@gen_gibran Bagus banget sih program makan siang gratis udah mulai disimulasikan semoga berjalan lancar dan segera bisa dijalankan di seluruh daerah di Indonesia,1766815424040374504,,icon_gen,in,,0,0,0,https://x.com/whezeerssStopit/status/1766815424040374504,1721792180212359168,whezeerssStopit
1766290333598658899,Sat Mar 09 02:36:44 +0000 2024,1,@ARSIPAJA Gak apa2 bang ... Biar mereka berbusa2 ngejek program bagus pemimpin kita kita harus rapatkan barisan dukung. Yang penting kita bakal kebagian makan siang gratis dan mereka cuma melongo aja All in semuanya...... Ok gas kapan naiknya bang udah ga sabar nih,1766292004928147636,,ARSIPAJA,in,"Sawah Besar, Indonesia",0,0,0,https://x.com/kebo_ijo_reborn/status/1766292004928147636,1707659882089103360,kebo_ijo_reborn
1766119668128071903,Fri Mar 08 15:11:56 +0000 2024,0,Program makan siang gratis ini bagus. Sangat menerapkan Pasal 33 Ayat (2) UUD 1945: Cabang-cabang produksi yang penting bagi negara dan yang menguasai hajat hidup orang banyak dikuasai oleh negara . Terlihat bijaksana tapi coba bacanya pake ( ) koma di sebelum kata 'banyak'.,1766119668128071903,,,in,,0,1,0,https://x.com/horepepew/status/1766119668128071903,1303608535586988033,horepepew
1766030630893343019,Fri Mar 08 10:41:58 +0000 2024,1,@Ipaahu Uji cobanya bagus Yg terpenting pemerataan program makan siang gratis se Indonesia dan harus tepat sasaran Ingat ikn juga butuh biaya banyak,1766051728703558078,,Ipaahu,in,,0,1,0,https://x.com/themomen_/status/1766051728703558078,1705470123631665152,themomen_
1766020208463061002,Fri Mar 08 08:36:43 +0000 2024,52,selain program makan siang gratis ngefek ke saham telur dan ayam gw prediksi ke depannya yang tetap bertahan bagus saham2 sektor logisitik transportasi laut karena houthi yang terus serang kapal2 laut mulai semakin bar2 ngefek banget ke biaya logistik pengirimannya,1766020208463061002,,,in,jakarta selatan,1,8,4,https://x.com/saptaipb/status/1766020208463061002,1634788663,saptaipb
1765982742830051470,Fri Mar 08 07:01:45 +0000 2024,0,@vonnycornellya_ Dengan kualitas masakan bagus seperti ini tentunya ini bukan program makan siang gratis heheheh,1765996309683540416,,vonnycornellya_,in,Indonesia,0,0,0,https://x.com/ArdFab666/status/1765996309683540416,1747455308551909376,ArdFab666
1764833632907309219,Tue Mar 05 02:01:41 +0000 2024,46,Yang saya bayangkan ini karena memaksakan program makan siang gratis untuk anak dengan budget dihitung 15.000 rupiah perkepala kalo di pedalaman yg ada dorang kasi makan mie Instan tiap hari... bagus itu buat cegah stunting.. apalagi klo dimakan dengan bungkusnya,1764833632907309219,,,in,,1,3,17,https://x.com/jayapuraupdate/status/1764833632907309219,771460293566140416,jayapuraupdate
1763769495485870439,Sat Mar 02 03:33:11 +0000 2024,0,Makan siang gratis itu program yg bisa jadi bagus loh selama mengutamakan sumber pangan lokal dan tenaga kerja lokal. Nggak usah di-cap 15 ribu kasian atuh upah tenaga kerjanya,1763769495485870439,,,in,Japan,0,1,0,https://x.com/errnyann/status/1763769495485870439,152252280,errnyann
1763482500385649060,Fri Mar 01 09:18:36 +0000 2024,0,@FayaAtika Emg dilarang kah program bagus dijlnkan?? Terus dilanjutkan dgn mengevaluasi program kekurangan dimana so positif aja sih. Pemerintahan pak Jokowi eksekusi lebih awal program makan siang gratis. Program kuliah gratis pak ganjar jg bagus kl dijlnkan,1763494036046819633,,FayaAtika,in,Pinggiran Kota Jombang-JaTim,0,1,0,https://x.com/HasanbinSaid/status/1763494036046819633,800018773,HasanbinSaid
1763492116729360866,Fri Mar 01 09:10:59 +0000 2024,1,Kita sering takjub atas suatu gagasan. Tapi abai bagaimana gagasan itu terlahirkan. Demikian halnya dengan program makan siang gratis untuk pelajar ini. Program ini bagus tapi patut ditelisik bagaimana proses gagasan ini lahir. Apakah sekadar gimmick. https://t.co/6awJLJQGrP,1763492116729360866,,,in,,0,0,0,https://x.com/soetanahasby/status/1763492116729360866,210012158,soetanahasby
1763427821614207077,Fri Mar 01 04:55:30 +0000 2024,0,Sebenarnya makan siang gratis itu program yg bagus banget bisa menaikan umkm harga pangan juga bisa terjaga petani dan peternak bisa hidup lbh layak dari rakyat untuk rakyat,1763427821614207077,,,in,Indonesia,0,0,0,https://x.com/Dewimurtiana73/status/1763427821614207077,2272592222,Dewimurtiana73
1763404546129437098,Fri Mar 01 03:23:00 +0000 2024,12,Richard ini emang cara berpikirnya mewakili pendukung wowo Richard menganggap program makan siang gratis itu amat sangat bagus sekali krn dgn program makan siang gratis ibuk² punya byk waktu untuk skin care'an byk waktu ke klinik kecantikan Ngakak liat ekspresi bang David https://t.co/gTtqphDzt9,1763404546129437098,https://pbs.twimg.com/ext_tw_video_thumb/1763404398779363328/pu/img/pGWqwdeQAOxH2nzT.jpg,,in,🦉🤍,0,3,7,https://x.com/AnKiiim_/status/1763404546129437098,1603276472814567425,AnKiiim_
1763150300435644881,Thu Feb 29 10:32:44 +0000 2024,0,10 Tahun Program Makan Siang Gratis Untuk Anak Sekolah di China APAKAH HASILNYA BAGUS? INI HASILNYA.... https://t.co/hAM2j2bFvY https://t.co/hAM2j2bFvY,1763150300435644881,,,in,indonesia,0,0,0,https://x.com/posaktualcom/status/1763150300435644881,1636627729675337734,posaktualcom
1762997192015683883,Thu Feb 29 00:24:20 +0000 2024,443,dgn program makan siang gratis bagi yg membutuhkan ( klo 02 benar2 menang ) mau gak mau kita harus punya perkebunan pertanian perikanan peternakan juru masak dan semua penunjang lainnya yg bagus...klo nggak ya bablas anginelah...,1762997192015683883,,,in,Leuwinanggung Depok,15,129,73,https://x.com/iwanfals/status/1762997192015683883,60406679,iwanfals
1762052768075026509,Tue Feb 27 08:02:20 +0000 2024,1,@apriyal2887 @asumsico Bkn tak punya empati apa program makan siang gratis yakin bisa menyeluruh apalagi dgn cm 15rb diluar jawa apa cukup?yg tdk sekolah apa juga dapat?knp tdk untuk pemerataan pembangunan sekolah saja spy pelosok jg terjamin pendidikannya.klo memang bagus knp baru skrg akan dijalankan,1762387675234160676,,apriyal2887,in,,0,2,0,https://x.com/AhmadHF12/status/1762387675234160676,1317683677,AhmadHF12
1762327747232485828,Tue Feb 27 04:25:46 +0000 2024,0,@kumparan Ke empat anak saya juga di sekolah nya dapat Snack dan makan siang setiap hari.. dan itu menurut saya bagus sekali.. apalagi jika program makan gratis utk anak sekolah dan ibu hamil di laksanakan dengan baik . multiflier efect nya banyak sekali.. cc @gibran_tweet @EmilDardak,1762333176775729238,,kumparan,in,,0,1,0,https://x.com/maulanar04/status/1762333176775729238,85211381,maulanar04
